TypovÈ oznaËenÌ;Artikl;V˝robce;N·zev;»Ìslo dÌlu v˝robce;V˝bÏhov˝ dÌl;status
;3000515;SCHALTAG;ZFGUM.A  Basis 400V Kolb. Komm. 40067381;;;H
;3000516;SCHALTAG;ZFGUM.A  Basis 400V Kolb. Komm. 40067381;;;H
;3000517;SCHALTAG;ZFGUM.A  Basis 400V Kolb. Komm. 40067381;;;H
;3000518;SCHALTAG;ZFGUM.A  Basis 400V Kolb. Komm. 40067381;;;H
;3000521;SCHALTAG;Elekt.komponenten BZ1225-Set;;;H
;3000522;SCHALTAG;Sicherungsschrank BZ1226;;;H
;3000523;SCHALTAG;Elekt.komponenten BZ1226-Set;;;H
251074;3000524;SCHALTAG;Rozvadec Willy dle schematu 251074;;;H
40067381;3000526;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
251437;3000533;SCHALTAG;Rozvadec Willy dle schematu 251841;;;H
251437;3000534;SCHALTAG;Rozvadec Willy dle schematu 251437;;;H
;3000535;SCHALTAG;WOW Atlas 3000 Winterthur  003;;;H
251875;3000536;SCHALTAG;Rozvadec Willy dle schematu 251875;;;H
;3000537;SCHALTAG;LCR-Meter Lemo Socket Adapter Box;;;H
;3000538;SCHALTAG;Cabinet TOP5000 BT2/2004 P-504005;;;H
;3000539;SCHALTAG;Buskasten 6050 LST-H P-504005;;;H
229522;3000540;SCHALTAG;E-Umbaukit neues Sicherheitsrelais AB;;;H
KOMM. 40067415;3000542;SCHALTAG;ZFGUMT.C 400V             Komm. 40067415;;;H
KOMM. 40067287;3000543;SCHALTAG;Kalibrierer AC ZKWVxT.E   Komm. 40067287;;;H
KOMM. 40067510;3000544;SCHALTAG;Polyline PMML112          Komm. 40067510;;;H
KOMM. 40066439;3000545;SCHALTAG;Polyline PMML111          Komm. 40066439;;;H
;3000549;SCHALTAG;Electr. Cabinet ELD-H  P-504047 2009982;;;H
;3000552;SCHALTAG;Polyline PMML113 Basis    Komm. 40065977;;;H
;3000553;SCHALTAG;Ecoline SEL401.B          Komm. 40068226;;;H
;3000554;SCHALTAG;Ecoline SEL401.B           Kom. 40068250;;;H
;3000555;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
;3000556;SCHALTAG;ZFGUM.A 400V              Komm. 40067588;;;H
;3000565;SCHALTAG;LLSEVO II PR+CR Huawei GB 1901 FA3048865;;;H
;3000566;SCHALTAG;LLSEVO II PR Huawei GB 19 01 FA-3048865;;;H
;3000567;SCHALTAG;LLSEVO II CR Huawei GB 19 01 FA-3048865;;;H
;3000568;SCHALTAG;LLSEVO II DPR Huawei GB 19 01 FA-3048865;;;H
;3000569;SCHALTAG;LLSEVO II DPL Huawei GB 19 01 FA-3048865;;;H
;3000570;SCHALTAG;LLSEVO II DPG Huawei GB 19 01 FA-3048865;;;H
;3000571;SCHALTAG;LLSEVO II DPW Huawei GB 19 01 FA-3048865;;;H
KOMM. 40068349;3000572;SCHALTAG;Ecoline SEL601.B          Komm. 40068349;;;H
;3000574;SCHALTAG;Ecoline SEL401.B         Komm. 1624 / 10;;;H
;3000575;SCHALTAG;Oprava Ovladani C70H V5.1 FU mVS CBA;;;H
XFT2555;3000576;SCHALTAG;RozvadÏË XFT2555;;;H
22-700-06;3000577;SCHALTAG;Electrical Cabinet X-Tra 22-700-06;;;H
10006870 / A;3000578;;Gitterbahn Lanz 40x75, A4 L=530   233848;;;H
233848;3000579;;Gitterbahn Lanz 40x75, A4 L=605   233851;;;H
V304951/A;3000580;;Gitterbahn Lanz 40x75, A4 L=905  234352;;;H
;3000581;SCHALTAG;Steuerung Hubarbeitsplattform UL BZ1225;;;H
;3000582;SCHALTAG;Steuerung Hubarbeitsplattform UL BZ1225;;;H
P-504036;3000583;SCHALTAG;Electr. Cabinet ELD-H P-504036 2009840;;;H
KOMM. 40068563;3000584;SCHALTAG;Polyline PMML112          Komm. 40068563;;;H
KOMM. 40068683;3000590;SCHALTAG;Polyline PMML111          Komm. 40068683;;;H
KOMM. 40072481;3000591;SCHALTAG;Kalibrierer AC ZKWV.A     Komm. 40068339;;;H
KOMM. 40068339;3000592;SCHALTAG;Starline PMML211          Komm. 40068339;;;H
P-504018;3000593;SCHALTAG;Cabinet SS Anlage 8961 P-504018;;;H
P-504018;3000594;SCHALTAG;Cabinet KR Anlage 8961 P-504018;;;H
236115, 230VAC;3000595;SCHALTAG;E-Umbaukit neues Sicherheitsrelais AB;;;H
251429;3000596;SCHALTAG;Rozvadec Willy dle schematu 252003;;;H
251926;3000597;SCHALTAG;Rozvadec Willy dle schematu 251926;;;H
251927;3000598;SCHALTAG;Rozvadec Willy dle schematu 251927;;;H
252130;3000599;SCHALTAG;Rozvadec Willy dle schematu 252130;;;H
251918;3000600;SCHALTAG;Rozvadec Willy dle schematu 251918;;;H
251429;3000601;SCHALTAG;Rozvadec Willy dle schematu 251429;;;H
;3000602;SCHALTAG;Kalibrierer AC ZKWV.A     Komm. 2210 / 5;;;H
KOMM. 40068683;3000603;SCHALTAG;Polyline PMML111          Komm. 40068683;;;H
;3000604;SCHALTAG;Polyline PMML112          Komm. 40067381;;;H
KR606331;3000606;SCHALTAG;Steuerung KC7070M        KR606331 Kr‰mer;;;H
;3000607;SCHALTAG;Rozvadec Cool Vantage Prototyp;;;H
KOMM. 40071152;3000608;SCHALTAG;Polyline PMML112     Komm. 20000449 / 10;;;H
FA-3051769;3000609;SCHALTAG;LLSEVO II Grundanlage Yangzhou FA3051769;;;H
FA-3051655;3000610;SCHALTAG;LLSEVO II Grundanl. Labor SEMI FA3051655;;;H
ERM S-18;3000611;SCHALTAG;Steuerschrank / M-Achse ERM S-18;;;H
KOMM. 40069313;3000612;SCHALTAG AG;Absetztisch breiter Kasten Komm.40069137;;;H
40069188;3000613;SCHALTAG AG;Ecoline SEL401.B          Komm. 40069188;;;H
;3000614;SCHALTAG;"Reparatur Verteiler-Einschub 19"" ONEX-70";;;H
KOMM. 40069134;3000615;SCHALTAG;Ecoline SEL601.B          Komm. 40069134;;;H
KOMM. 40069123;3000616;SCHALTAG;Ecoline SEL601.B          Komm. 40069123;;;H
FA-3051649;3000618;SCHALTAG;LLSEVO II PR+CR Lextar TW FA-3051649;;;H
