TypovÈ oznaËenÌ;Artikl;V˝robce;N·zev;»Ìslo dÌlu v˝robce;V˝bÏhov˝ dÌl;status
PNOZ X2.1/24VDC;1813-3050;PILZ;Not-Aus Schaltger.24V= 2S/       6A 2K;774306;;U
248-501;1813-3051;WAGO;KARTA NA POPIS 248-501 1ks=100pop.;U00000352;;H
BN425;1813-3057;BOSSARD;SvornÌk M8x80               ZN;;;K
UK  5-MTK-P/P;1813-3069;PHOENIX CONTACT;Knife-disconnect terminal block, With te;3004032;;H
LRC-M1;1813-3070;L‹TZE;RC-Modul 3x500VAC  4kVA;700490;;H
FAZ-C3/1;1813-3072;EATON;Jistic 1P  (C)  3A     230V~;278551;;U
FBRI  2-5 N;1813-3077;PHOENIX CONTACT;Querverbinder 2-fach zu UK3 FBRI2-5N;3000227;;U
PKZM0-16;1813-3080;EATON;Spoustec motoru  3P 10,0-16,0A screw;46938;;H
UMK-16 RM 24DC/MKD;1813-3100;PHOENIX CONTACT;Releovy modul na 16 minirele 1U LED, 24V;2972990;;U
FLKMS 50;1813-3107;PHOENIX CONTACT;‹bergabemodul 50P sr KL/Stift.;2281597;;H
KDT/Z 12;1813-3130;MURRPLASTIK;Kabelov· pr˘chodka Ad17, Kd=12-13;87171230;;H
AKG  4 GNYE;1813-3135;PHOENIX CONTACT;Svorka uzemneni 0,5-4,0mm2 AKG 4 GNYE;0421029;;H
AKG 16 GNYE;1813-3136;PHOENIX CONTACT;Svorka uzemneni 1.5-16mm2;0423027;;H
PCVK 4-7,62;1813-3139;PHOENIX CONTACT;Reihenklemme 0.2-4.0mm2 PCVK 4-7.62;1849998;;U
PCVK 4-7,62-F;1813-3140;PHOENIX CONTACT;Endsteller zu PCVK4;1850000;;U
KLM-A;1813-3141;PHOENIX CONTACT;Nosic Oznaceni svorkovnice KLM-A;1004348;;H
09330102601;1813-3144;HARTING;Konektor M 10P+E0,75-2,50mm?  Han-E;;;H
3RA1913-2A;1813-3145;SIEMENS;Propojovaci modul-reverzni startery, S00;U10030962;;U
3RH1911-2FA22;1813-3158;SIEMENS;Blok pom.kontaktu    2NO+2NC bezsroub;;;U
0168 21 13;1813-3217;PARKER LEGRIS;Redukcni sroubeni G1/2 auf G1/4;;;H
PLC-RSC- 24DC/21AU;1813-3242;PHOENIX CONTACT;Rele 1UK    24V=  6A sr;2966265;;H
ESW 08SH0500;1813-3247;BAUMER;Kab. zasuvka 90∞ S8 3px0.25PUR 5M;10257811;;H
FBST 500-PLC RD;1813-3251;PHOENIX CONTACT;Propojka 500mm isol. rt 32A;2966786;;H
FBST 500-PLC BU;1813-3252;PHOENIX CONTACT;Propojka 500mm isol. bu 32A;2966692;;H
GDM3009;1813-3256;HIRSCHMANN;Konektor 3P+E sw 90G Pg 9 A;;;H
FBI 10-12;1813-3264;PHOENIX CONTACT;Querverbinder 10-fach zu UK 16N FBI10-12;0203454;;H
FBRI  3-5 N;1813-3270;PHOENIX CONTACT;Querverbinder 3-fach zu ZFK2.5 innen;3000201;;U
3RT1916-1DG00;1813-3408;SIEMENS;Ochrana prepetova 24-250V= LED S00;10627150;1816-0192;U
TS 4696.000;1813-3410;RITTAL;TS mont·ûnÌ v˝ztuhy ö/h=600mm;4696000;;H
N551;1813-3426;WISAR;Kapsa na dokumenty 325x180 Alu grau A4;;;H
3199 12 21;1813-3465;PARKER LEGRIS;WE-Steckverb.  D12  G1/2;;;H
3116 12 00;1813-3466;PARKER LEGRIS;Schottanschluss gerade D12,0mm;;;H
P1-32/EA/SVB-SW/N;1813-3475;EATON;VYPINAC HLAVNI 32A;93452;;U
03-09-1061;1813-3477;MOLEX;Konektor F 6P/2r 2,36mm Ser1545;;;H
KL 1514.510;1813-3480;RITTAL;Skrinka KL 150x150x80mm RAL9005 mat obro;1514510 RAL9005 MAT OBROB;;H
M22-CK02;1813-3483;EATON;Dvojity kontakt M22-CK02;107899;;U
1572.16;1813-3513;AGRO;Pruchodka kabelu(PA)PG16 /13   8-15 GY;;;H
3RH1921-1HA31;1813-3538;SIEMENS;Blok pom.kontaktu 4P 3NO+1NC sroub S0-S3;10627683;;U
3RV1915-1AB;1813-3539;SIEMENS;Pripojnice 2x3Ph T45mm;10395266;;H
3RV1915-1BB;1813-3540;SIEMENS;Pripojnice 3x3Ph T45mm S00,S0;10395267;;H
3RV1915-1CB;1813-3541;SIEMENS;Pripojnice 4x3Ph T45mm S00,S0;10139751;;H
3RV1915-1DB;1813-3542;SIEMENS;Pripojnice 3Ph T45-5M;10523606;;H
3RV1935-1A;1813-3543;SIEMENS;Pripojnice 2x3Ph T55mm S2;10435622;;U
3RV1935-5A;1813-3545;SIEMENS;Blok pripojnicovy horni 3Ph S2;10395270;;U
52015740;1813-3559;LAPP;Pruchodka kabelu(MS)PG16/6,5  8,0-14,0;;;H
SK  3,81/2,8:FORTL;1813-3565;PHOENIX CONTACT;ZACKA PRO SVOR SK 3.8/2.8 1-10 Mini-Comb;0804109:0001;;H
3RV1011-1JA10;1813-3581;SIEMENS;Spoustec motoru 7-10A          S00 Screw;10354891;;H
99-0717-00-13;1813-3588;BINDER;Konektor  ST 12P+E LT ger      694;;;H
Q 20 DLI;1813-3592;WEIDM‹LLER;Propojka 20P k DLI2.5;1399800000;;U
0233.209.023;1813-3597;AGRO;Chranicka  flex PG21                  BK;;;H
HN02 016-0002(1);1813-3605;AMPHENOL;Kontakt samice 0,5-1,5 AG CP C16-3 BW;;;H
HN02 016-0002(1);1813-3605_SART;AMPHENOL;Kontaktbuchse 0,5-1,5  AG   CP  C16-3 BW;;;H
DILM9-10(24VDC);1813-3639;EATON;Stykac 4kW 24V= 3P10  sr;276705;;H
PKZM0-1;1813-3640;EATON;Odpinac vykonovy 0,63-1,00A sr 3P;72734;;H
WDU 2.5N;1813-3643;WEIDM‹LLER;SVORKA WDU 2.5N;1023700000;;H
WAP WDU2.5N/4N;1813-3644;WEIDM‹LLER;STENA BOCNI WAP-WDU 2.5N/4N;1060000000;;H
WPE 2.5N;1813-3645;WEIDM‹LLER;Erdklemme   0,5-  2,5mm2 WPE2.5N;1016200000;;H
GV2ME07;1813-3657;SCHNEIDER ELECTRIC;Spoustec motoru 1.6-2.5A  TM  screw;10512538;;H
GV1G09;1813-3658;SCHNEIDER ELECTRIC;KONTAKTNI BLOK 63A;10635823;;H
GV2G445;1813-3660;SCHNEIDER ELECTRIC;Pripojnice 3P T45- 4M 63A;;;H
RUMC31BD;1813-3663;SCHNEIDER ELECTRIC;Relais AG 3UK      24V= 10A;;;H
RUZC3M;1813-3664;SCHNEIDER ELECTRIC;Stecksockel(Indu) 11P 10A sr BK o.HB‹;;;H
WPE 2.5;1813-3667;WEIDM‹LLER;Svorka PE   0,50- 2,5mm2 WPE2.5 800V;1010000000;;H
WDU 4 BL;1813-3668;WEIDM‹LLER;Reihenklemme   0,5-  4,0mm2 WDU4 blau;1020180000;;H
WDU16 BL;1813-3669;WEIDM‹LLER;Svorka pruchozi 16mm2 1000V 76A BU;1020480000;;H
WQV 2.5/10;1813-3670;WEIDM‹LLER;PROPOJKA svorek WQV 2.5/10;1054460000;;H
99-0720-00-13;1813-3690;BINDER;female socket 12p+pe;;;U
WDU 10 BL;1813-3692;WEIDM‹LLER;Reihenklemme   1,5- 10,0mm2 WDU10 bu 61A;1020380000;;H
AK 16;1813-3694;PHOENIX CONTACT;Anschlussklemme 1.5 -16mm2 AKG16NYE;0404033;;U
UMSTBHK 2,5/10-G;1813-3695;PHOENIX CONTACT;Steckerblock 2.5mm2 10fach 5.00 COMB;1765768;;U
FLKM 20;1813-3696;PHOENIX CONTACT;‹bergabemodul 20P fz KL/Stiftl.;2281047;;U
UMK- PVB;1813-3698;PHOENIX CONTACT;Potentialverteiler 2/24-/48+/72PE 250V;2971302;;U
DIN  912;1813-3710;SPOJOVACÕ MAT.;sr. Valc. Hl. 8.8 ZN M10x16;;;K
09200042711;1813-3730;HARTING;Konektor F 4P+E 0,75-1,50mm?  Han-A;;;H
GV2ME04;1813-3751;SCHNEIDER ELECTRIC;Spoustec motoru  3P 0,4-0,63A TM screw;10513950;;U
09330006122;1813-3764;HARTING;Krimpovaci kontakt M 0,50mm?  Han-E Au;;;H
PC 4/ 5-ST-7,62;1813-3766;PHOENIX CONTACT;Steckerteil 5P 20A/400V gn 7.62 PC4;1804933;;U
6EP1437-2BA20;1813-3789;SIEMENS;Zdroj     400-500V~    /  24V=     40A;;;H
6EP1437-2BA20;1813-3789_MB;SIEMENS;Stabilizovan˝ zdroj 3x400-500VAC/24VDC;;;H
PKZM0-1,6;1813-3791;EATON;Spoustec motoru  3P 1-1,6A screw;72735;;H
249-125/001-000;1813-3794;WAGO;PROPOJKA S DRZAKEM POPISU 60MM;U18133794;;U
RC-1RP1N1283NN;1813-3815;PHOENIX CONTACT;Kabelsteck ST 19P+E LT ger EMV    RC-1RP;1603037;;U
09140240313;1813-3816;HARTING;Ramecek 24B pro 6 modulu a...f;U18133816;;H
JS RT6;1813-3861;JOKAB;Not-Aus Schaltger.24V= 3S/1÷     6A 2K;;;H
140M-C-WT;1813-3870;ALLEN-BRADLEY;Pripojnice 3Ph pro 140M-C/140M-D;;;U
P3-63/V/SVB-SW/N/H;1813-3896;EATON;Lastschalter Tuerv 30.0 kW 3PN P3-63;74470;;U
SZ 1593.000;1813-3916;RITTAL;Nahradni rychlouzaver k skrinim KL;1593000;;U
DVMA15UN4-OS;1813-3933;DELTRON;Haube 15P Metall, 45Gr  NC4-40      DSub;;;H
FMK4G-K201;1813-3936;DELTRON;DELTRON Kryt kovovy D-Sub 37P NC440;;;H
TS 8609.160;1813-3955;RITTAL;Modulplatte 338x186mm geschlossen;8609160;;U
TS 8609.140;1813-3956;RITTAL;Modulove desky 338x186mm p 24P-konektory;8609140;;U
09330006204;1813-3959;HARTING;Krimpovaci kontakt F 1,50mm?  Han-E Ag;U18133991;;H
C016 20D003 110 12;1813-3982;TE-CONNECTIVITY;Konektor BU  3P+E SR 180G      C16-1;;;H
3RT1936-4EA2;1813-4006;SIEMENS;Kryt svorek 3RT1936-4EA2;10522405;1816-5803;U
280-623/281-411;1813-4009;WAGO;RADOVE SVORKY DIODA 0,5A GY 2/2;U18134013;;U
09330006104;1813-4013;HARTING;Krimpovaci kontakt M 1,50mm?  Han-E Ag;;;H
6ES7972-0BA12-0XA0;1813-4026;SIEMENS;Konektor 9P 90∞ bezPG pro Profib./RS485;;;H
526063;1813-4052;MURR ELEKTRONIK;MIRO 6.2,5, TR,24VDC,24VDC,0.5A;10612580;;U
VIP-2/SC/PDM-2/24;1813-4069;PHOENIX CONTACT;Modul predavaci 2/2x12 +/-;2315269;;U
DIN  912;1813-4091;BOSSARD;Zylinder-schr.In-6Kt   M 5x 20ST 8,8  vz;;;K
09140123101;1813-4103;HARTING;Konektor F 12P  0,14-2,50mm?  Han-DD;10404834;;H
TS 8601.600;1813-4115;RITTAL;Podstavec TS öxv 600x100mm, RAL7022;8601600;1817-0757;H
TS 8601.060;1813-4118;RITTAL;Bocnice podstavce 600x100 ---> 1815-0710;8601060;;U
09150006206;1813-4125;HARTING;Krimpovaci kontakt F 2,50mm?  Han-D Ag;;;H
GVAN11;1813-4138;SCHNEIDER ELECTRIC;Kontatkni blok 1NO +1NC;;;H
GV2ME05;1813-4139;SCHNEIDER ELECTRIC;Jistic 3P 0,63-1,0A  sr TM;;;H
H403;1813-4150;SCHNUERLE;Warnschild El.Spannung,  SL 50/F;;;H
H403;1813-4151;SCHNUERLE;"Samolepka ""Alive"" zluta 9x25";;;H
SRD-SGR2;1813-4153;ELESTA;Stecksockel  8P 300V DIN rail;;;H
T 3260 001;1813-4165;AMPHENOL;Kab.konektor ST  3P   LT ger     C091;;;H
C016 10D006 010 12;1813-4166;AMPHENOL;Konektor BU  6P+E CP ger   Ecomate;;;H
HN01 016-0004(1);1813-4168;AMPHENOL;Krimpovaci kontakt  0,5 -1,5mm2;;;H
UMK- 8 RM24DC/MKDS;1813-4169;PHOENIX CONTACT;Interfacemodul f. 8 steck.Relais 1U;2972916;;U
ABN 2/SS;1813-4172;PHOENIX CONTACT;Nosna opera ABN 2/SS 10x3/6x6mm;0404460;;H
AKG 16 BU;1813-4173;PHOENIX CONTACT;Svorka  1.5 -16mm2 blau;0423014;;
AKG 4 BU;1813-4174;PHOENIX CONTACT;Pripojovaci svorky MODR› 0.5-4mm2;0421016;;
AKG 35 BU;1813-4175;PHOENIX CONTACT;Pripojivaci svorka 2.5 -35mm2 modra;0424013;;H
AKG 35 GNYE;1813-4176;PHOENIX CONTACT;Svorka uzemneni 2.5 -35mm2 GNYE;0424026;;H
DLK 2,5-PE;1813-4178;PHOENIX CONTACT;Reihenklemme 3L 0.2 - 2.5mm2 DLK;3011041;;H
30181;1813-4182;WOERTZ;SL-Abzw.klemme, Ms blk,  70mm2;;;
W3450BL;1813-4183;WOERTZ;Radove svorky 2.5ñ35mm≤ seda;;;H
3430GR;1813-4185;WOERTZ;Radove svorky 2.5-6mm≤ seda;;;U
3431;1813-4186;WOERTZ;Delici stena 2L Woertz;;;H
80170/16;1813-4187;WOERTZ;Svorka vodice 16mm2 Woertz;;;H
"SVE C-30;4356";1813-4188;WOERTZ;Schnellverl, Al,  ?40-48, 4356;;;H
"UE C-30;4346";1813-4189;WOERTZ;Unterlage, Al,    ?40-48, 4346;;;H
6X7 1SFC 02/03.5 PVC TRANSPARE 1960;1813-4196;BRUGG DRAHTSEIL;Drahtseil 2/3.5mm m. PVC-Mantel transp.;;;H
UMK- PVB 2/24/ZFKD;1813-4199;PHOENIX CONTACT;Potenzialverteiler 2x12/24 +/-;2302366;;H
GV2G354;1813-4202;SCHNEIDER ELECTRIC;Pripojnice 3P T54- 3M 63A;;;H
GV2G454;1813-4203;SCHNEIDER ELECTRIC;Pripojnice 3P T54- 4M 63A;;;H
PS 4638.800;1813-4207;RITTAL;Odkladaci pult 613x400 do PS skrini 800;4638800;;H
S102Z053;1813-4219;FISCHER CONNECTORS;Kabelstecker 4 Bu gerade S102 Z053;101088;;H
C016 20D003 110 10;1813-4221;AMPHENOL;Konektor  BU  3P+E SR ger   Ecomate;;;H
MSD6-209;1813-4222;KLAR+BEILSCHMIDT;Kabelsteckdose 2P+E sw 90G PG 9 B;;;H
FPHGR-3X;1813-4224;FCT;Kryt D-Sub 25pin plast;FPHGR-3X;;H
99-0076-100-03;1813-4226;BINDER;Kruhov˝ Konektor, SÈrie 711;;;H
140M-C2T-C10;1813-4232;ALLEN-BRADLEY;Motor Protection Circuit-Breaker;;;U
1492-ASPH3;1813-4240;ALLEN-BRADLEY;Blok p.kontaktu jistic  1S/1÷ sr links;10672180;;U
ZVV-T0;1813-4263;EATON;PRODLOUZENI PODESTY blokovacÌho dÌlu Z##;22298;;H
ZAV-T0;1813-4264;EATON;PRODLOUZENI PODESTY osy ZAV-T0;27044;;H
289-445;1813-4271;WAGO;PREDAVACI MODUL 9p;10423652;;H
SY100-68-A-30;1813-4277;SMC;Kabel senzorovy s konektorem 2P 3M;00044349;;H
09000005023;1813-4309;HARTING;Tesneni k pruchodce PG21;;;H
09000005104;1813-4310;HARTING;PrUchodka PG 21;;;H
C016 10H006 010 10;1813-4312;AMPHENOL;Konektor ST  6P+E CP 180G    Ecomate;;;H
173111-0356;1813-4313;FCT;Haube  9P Kunstst                   DSub;;;H
09670009971;1813-4320;HARTING;Verriegelungsschr UNC M3 21,9mm     DSub;09670009971;;H
GO 6 WF/;1813-4332;HIRSCHMANN;Konektor       6P   sw 90G Pg 7;932-447-100;;H
43-1700-000-03;1813-4333;BINDER;Kab.zasuvka  2P+E 90G sw PG 9  A;;;H
09330062616;1813-4346;HARTING;Konektor M 6P+E 0,14-2,50mm?  Han-ES;;;H
09330062716;1813-4347;HARTING;Konektor F 6P+E 0,14-2,50mm?  Han-ES;;;H
09160423101;1813-4348;HARTING;Konektor F 42P+E0,14-2,50mm?  Han-DD;;;H
09160423001;1813-4349;HARTING;Konektor M 42P+E0,14-2,50mm?  Han-DD;;;H
300.1577;1813-4353;LPS MEDIA;ätÌtek PE nalepovacÌ 12.5mm;;;H
09330006102;1813-4356;HARTING;Krimpovaci kontakt M 2,50mm?  Han-E Ag;;;H
09330006202;1813-4357;HARTING;Krimpovaci kontakt F 2,50mm?  Han-E Ag;10407655;;H
09140009950;1813-4358;HARTING;Zaslepka Han-module;10468554;;H
09140100303;1813-4361;HARTING;Ram pro 3 moduly A...C  10B;;;H
09140100313;1813-4362;HARTING;Ramecek 10B pro 3 moduly a..c;10535022;;H
7000-12481-0000000;1813-4391;MURR ELEKTRONIK;Stecker gerade ST M12 4P 4x0,5     MOSA;;;H
58627;1813-4394;MURR ELEKTRONIK;Chranicka k M12 zu Verteilbox;58627;;H
6ES7138-4DA04-0AB0;1813-4423;SIEMENS;Modul el. count 24V/100KHZ;;102017931;U
PLC-RSC- 24DC/21;1813-4449;PHOENIX CONTACT;Releova svorka 24VDC 1UKP 2.5mm2;2966171;;H
09160243101;1813-4454;HARTING;Konektor F 24P+E0,14-2,50mm?  Han-DD;U18134454;;H
194L-HE6G-175;1813-4461;ALLEN-BRADLEY;Spinac ochr. moto. 67x67mm 194L;10747751;;H
FMAD-0954-H110;1813-4468;SCHURTER;SÌùov˝ filtr 3L+N+PE 110A;;;H
WDK 2.5;1813-4496;WEIDM‹LLER;SVORKOVNICE WDK 2,5D ORANGE;1021500000;;H
WAP WDK2.5;1813-4497;WEIDM‹LLER;Delici stena k WAP WDK2,5;1059100000;;H
6GK1500-0EA02;1813-4502;SIEMENS;Bus konektor RS485 PROFIBUS;;;H
FBI 10-10;1813-4505;PHOENIX CONTACT;Querverbinder 10-fach ZU UK 10N FBI10-10;0203276;;U
EL 2094.200;1813-4510;RITTAL;Klecova matice M6;2094200;;H
KGS-PC 4/ 6;1813-4513;PHOENIX CONTACT;Kabelgeh‰use 6P 45G COMB;1837256;;H
FVS1/5M2.5;1813-4518;FCT;Konek. sroub M2,5-NC      FCT    DSub;;;H
09160243001;1813-4524;HARTING;Konektor M 24P+E0,14-2,50mm?  Han-DD;;;H
09000005022;1813-4525;HARTING;Tesneni pruchodky PG16 14-16mm;;;H
8000.5;1813-4567;AGRO;Matice pruchodky(MS)M50;;;H
3SB3001-0AA21;1813-4569;SIEMENS;Tlacitko prosvetlene        RED;;;U
HNG5002507035B;1813-4598;HAGER;Kanal kabelovy 50x25 (Vxä) HLF;;;H
KFD2-SR2-EX1.W, 24VDC 1U 250V/2A;1813-4611;PEPPERL & FUCHS;Isolating amplifier 1 channel;;;H
3RV1011-0KA10;1813-4619;SIEMENS;Spoustec motoru 0.9-1.25A      S00 Screw;10395237;;H
SD-D/SC/LA/YE;1813-4681;PHOENIX CONTACT;Steckdose 2P+E Schuko gb EBsnap Glimml;2963404;;H
PLC-RSC- 24DC/21-2;1813-4693;PHOENIX CONTACT;Releovy modul 2W 24 VDC;2967060;;H
MC 1,5/ 4-ST-3,81;1813-4700;PHOENIX CONTACT;Konektor MC 1.5/4-St-3.81;1803594;;H
MC 1,5/ 8-ST-3,81;1813-4701;PHOENIX CONTACT;Stecker 8P 3.81 COMB;1803633;;H
TS 8602.600;1813-4704;RITTAL;Podstavec TS öxv 600x200mm, RAL7022;8602600;1815-3121;H
672 014 115;1813-4740;T+H;Konektor   2P+E T12 sz D11.5mm;;;H
700-HA33Z24-3;1813-4741;ALLEN-BRADLEY;Rele AG 3UK 1F   24V= 10A     Pr.Taste;10544868;;H
KLBUE 3-8 FM4;1813-4758;WEIDM‹LLER;Stinici svorka D 3- 8.0mm;1600480000;;H
FU1451/40A/00;1813-4760;EUROTHERM;Pojistkov˝ drû·k ?14x51 40A;;;H
KL9010;1813-4762;BECKHOFF;Svorky sbernice koncove;;;H
KL3002;1813-4763;BECKHOFF;Analog vstup KL3002 2kan;;;
KL4002;1813-4765;BECKHOFF;Analog v˝stup KL4002 2kan;;;H
HC-B  6-AP-GY;1813-4801;PHOENIX CONTACT;Abdeckplatte 36x52 AP6 gu HYCON;1660368;;U
FVS1/5-K1163M3;1813-4822;FCT;Konekt. Sroub M3           FCT    Dsub;;;H
PZE9/24VDC 774150;1813-4827;PILZ;Kontakterweiter.    24V=  8S/1÷  6A 2K;774150;;H
12530436;1813-4836;HUBER+SUHNER;Vodic Radox 125 0.75 BK;;;H
C.66.12SW;1813-4839;PMA;Oplet BK 75% Abd.  9-18mm 12;;;H
FFA0S302CLAK62;1813-4841;LEMO;Konektor  ST  2P   LT ger           FFA;;;H
6ES7972-0BB42-0XA0;1813-4844;SIEMENS;Konektor 9P 35∞ m.PG Profib./RS485;;;H
3SU1801-0NA00-2AC2;1813-4845;SIEMENS;Krytka ovladace tot.stop s tl. 40mm YE/R;;;H
3SB3921-0AK;1813-4846;SIEMENS;Limec ochrany k nouzovemu Stop tl.;;1817-0941;U
14-810.002;1813-4847;EAO;Alarmgeber D29mm   24V=          14-810;;;H
3RV1421-1GA10;1813-4855;SIEMENS;Ochrana trafo nadpr. 4,5-6,3A S0 Screw;10657740;;U
769-307;1813-4860;WAGO;Kryt svorek   4,0mm2 1/1 GY;10583733;;H
3RV1421-1KA10;1813-4869;SIEMENS;Ochrana trafo nadpr. 9-12,5A  S0 Screw;;;U
1170 19,1MM;1813-4884;3M;Klebeband Alu-Schirmung 19,1mm;;;K
SZ 2547.000;1813-4896;RITTAL;Klic 4hr 7mm Rittal c. 5;2547000;;H
100-SB11;1813-4898;ALLEN-BRADLEY;Blok p.kontaktu stykac 1S/1÷ sr levy;10404837;;H
7TB772.91;1813-4903;B&R;SPS - Svorka 72P 1.0mm2 ZfG       2003;10482575;;U
1060.17;1813-4926;AGRO;Kabelverschr(MS)M16 /5    D 6,0-10,5;;;H
1060.17;1813-4926_SART;AGRO;Kabelverschr(MS)M16 /5    D 6,0-10,5;;;H
1060.2;1813-4927;AGRO;Kabelova pruchodka (MS)M20/6  8,0-14,0;;;H
1555.17.06;1813-4929;AGRO;Pruchodka kabelu(PA6)M16  /8    2-6 LGY;10059146;;H
1555.20.13;1813-4930;AGRO;Pruchodka kabelu(PA6)M20   /9  7-13 LGY;10664682;;H
8000.17;1813-4931;AGRO;Matice pruchodky(MS)M16;10544801;;H
8000.2;1813-4932;AGRO;Matice pruchodky(MS)M20;;;H
8000.32;1813-4933;AGRO;Matice pruchodky(MS)M32;U18134933;;H
8217;1813-4934;AGRO;Matice pruchodky(PA)M16      LGY;U18134934;;H
8220;1813-4935;AGRO;Matice pruchodky(PA)M20      LGY;;;H
8725.08;1813-4936;AGRO;Zaslepka(MS)M25;10447333;;H
8732.08;1813-4937;AGRO;Zaslepka(MS)M32;;;H
8855.32;1813-4940;AGRO;Zaslepka(PA)M32 LGY;U18134940;;H
SY100-68-A-50;1813-4942;SMC;Kabel s konektorem k mag. Vent. 5m;00044353;;
683013105;1813-4947;T+H;Kabelova zasuvka CH typ 13 10A;;;H
HC-B 10-ESTS;1813-4980;PHOENIX CONTACT;Stifteinsatz 10P+E SR HEAVY;1771228;;U
HC-D 25-ESTC;1813-4982;PHOENIX CONTACT;Stifteinsatz 25P+E CP HEAVY;1772418;;U
CK1,6-ED-0,75ST AG;1813-4984;PHOENIX CONTACT;Kontaktstift 0.75mm2 HEAVY;1663352;;H
CK1,6-ED-0,75BU AG;1813-4985;PHOENIX CONTACT;Kontaktbuchse 0.75mm2 HEAVY;1663417;;H
MVSTBR 2,5/10-ST-5;1813-5055;PHOENIX CONTACT;Stecker 10P m Wand 90G 5.08 COMB;1792320;;U
MSTB 2,5/10-ST-5,0;1813-5058;PHOENIX CONTACT;Stecker 10P 5.08 COMB;1757093;;H
MSTB 2,5/ 6-ST-5,0;1813-5059;PHOENIX CONTACT;Konektor  6P 5.08 COMB;1757051;;H
MSTB 2,5/ 3-ST-5,0;1813-5068;PHOENIX CONTACT;Konektor    3P   5,08 COMB;1757022;;H
MVSTBR 2,5/ 5-ST-5;1813-5073;PHOENIX CONTACT;Konektor R5,08 Sr 5p 12A250V;1792278;;H
MVSTBR 2,5/ 6-ST-5;1813-5074;PHOENIX CONTACT;Stecker 6P m Wand 90G 5.08 COMB;1792281;;U
RC16M23K;1813-5104;SOURIAU;Kontakt   0,52/ 1,5mm2 CP     TTSMS;;;H
1-163084-0;1813-5118;TE-CONNECTIVITY;Kontakt krimpovaci F 0,5-1,5  AU;;;H
MSTB 2,5/ 8-ST-5,0;1813-5145;PHOENIX CONTACT;Konektor  8P 5.08 COMB;1757077;;H
11_BNC-50-3-4/133_NE;1813-5170;HUBER+SUHNER;Konektor ST   50E                 LT BNC;;;H
CTLM09UN4;1813-5190;DELCONEC;Kryt 9P Kst met 180G R-Sch NC4-40 DSub;;;H
CTLM09UN4;1813-5190_SART;DELCONEC;Haube  9P Kst met 180G R-Sch NC4-40 DSub;;;H
CTLM15UN4;1813-5191;DELCONEC;Haube 15P Kst met, R-Sch NC4-40     DSub;;;H
CTLM25UN4;1813-5192;DELCONEC;Kryt konektoru 25P Kst met, R-Sch NC4-40;;;H
DAA15S-A197-F0;1813-5202;CANNON;Konektor DSub F 15P 2rows Sn pro CP;;;H
SK  5/3,8:FORTL.ZA;1813-5233;PHOENIX CONTACT;Znacka pro svorky SKS5 21-30;0804183:0021;;U
231-129;1813-5244;WAGO;Kodovaci klic   T5/5,08 WH;;;U
DTS37SX;1813-5252;DELTRON;Kontakt samice  37P         CP DSub;;;H
163081-8;1813-5262;TE-CONNECTIVITY;Kontaktstift 0.8-1.5   SN B CP  MMCPC;;;H
DTS09PFC/2;1813-5272;DELTRON;POUZDRO D-Sub 9p M FL-Kab      SK DSub;;;H
DTS09SFC/2-A;1813-5273;DELTRON;POUZDRO D-Sub 9p F FL-Kab SK Dsub;;;H
DTS15PX;1813-5306;DELTRON;Konektor DSub M 15P 2rows Sn pro CP;;;H
KGG-MSTB 2,5/ 2;1813-5307;PHOENIX CONTACT;Kabel skrin 2p KGG-MSTB2.5/2;1803934;;H
KGG-MSTB 2,5/ 8;1813-5308;PHOENIX CONTACT;Kabel skrin 8p KGG-MSTB2.5/8;1803921;;H
KGG-MSTB 2,5/ 4;1813-5309;PHOENIX CONTACT;Kabel skrin 4p KGG-MSTB2.5/4;1803882;;U
IC 2,5/ 2-ST-5,08;1813-5310;PHOENIX CONTACT;Zastrcka 2p IC2.5/2-ST-5.08;1786174;;U
CP-MSTB;1813-5313;PHOENIX CONTACT;Kodovy dil skrin red COM;1734634;;H
CR-MSTB;1813-5314;PHOENIX CONTACT;CR-MSTB C.1734401  PHOENIX;1734401;;H
09300160301;1813-5315;HARTING;Zakladna konektoru zavir. Han-16B;10505392;;H
09210403101;1813-5316;HARTING;Konektor harting Han*D 16B 40p;10505391;;H
09150006123;1813-5322;HARTING;Krimpovaci kontakt M 0,50mm?  Han-D Au;10563941;;H
09330242716;1813-5324;HARTING;Konektor F 24P+E0,14-2,50mm?  Hann-ES;;;H
09330062701;1813-5334;HARTING;Konektor F 6P+E 0.75-5,00mm?  Han-E;10505338;;H
09330062601;1813-5336;HARTING;Konektor pro vysokou zatez 6P M;10505339;;H
09200030301;1813-5337;HARTING;Zakladna konektoru zavir. Han-A 3A rovna;10535027;;H
09300060302;1813-5339;HARTING;Zakladna konektoru zavir. Han-6B termpl;;;H
F-GK15;1813-5349;FCT;Dist blok ke konektoru  NC4-40      Al;;;H
09300009901;1813-5351;HARTING;Zajistovaci sroubeni Han-B;10544860;;H
09300100301;1813-5364;HARTING;Zakladna konektoru zavir Han-10B;10534877;;H
09330102716;1813-5365;HARTING;Konektor F 10P+E0,14-2,50mm?  Han-ES;;;H
09300240301;1813-5370;HARTING;Zakladna konektoru Han-24B;;;H
09330242616;1813-5372;HARTING;Konektor M 24P+E0,14-2,50mm?  Han-ES;;;H
